,alginate,,alg+Ac,,AC,,a1,a2,a3,a4,a5,a6,a7,a8
4144,68.96679,,72.816682,,64.767014,,70.589698,62.309258,63.463475,72.940408,67.365623,63.281923,42.386857,36.958526
4142,68.959938,,72.813929,,64.745314,,70.597267,62.304382,63.448325,72.953278,67.359821,63.295762,42.41446,37.001734
4140,68.94925,,72.80099,,64.726963,,70.594279,62.289563,63.424533,72.948435,67.347633,63.31167,42.428066,37.124828
4138,68.932807,,72.782961,,64.715298,,70.586008,62.272713,63.394984,72.928425,67.324791,63.323658,42.427698,37.274032
4136,68.914452,,72.759847,,64.703627,,70.57246,62.249873,63.359686,72.893263,67.295573,63.335719,42.416142,37.475847
4134,68.896105,,72.739274,,64.698626,,70.553641,62.226982,63.32726,72.858141,67.257849,63.341862,42.401712,37.623643
4132,68.875847,,72.718699,,64.700283,,70.532185,62.207999,63.297701,72.823057,67.218025,63.34608,42.384414,37.717702
4130,68.859437,,72.705736,,64.708588,,70.513347,62.194909,63.276741,72.803181,67.18037,63.348371,42.369779,37.678813
4128,68.844954,,72.697838,,64.723529,,70.494498,62.185736,63.261503,72.793443,67.147016,63.350732,42.360568,37.53412
4126,68.834317,,72.695,,64.741763,,70.480886,62.182463,63.254841,72.806467,67.126488,63.359155,42.356775,37.257771
4124,68.825607,,72.697216,,64.766614,,70.469881,62.183114,63.253882,72.83718,67.116648,63.369646,42.358394,36.903175
4122,68.818822,,72.696877,,64.788087,,70.464101,62.185712,63.258615,72.883041,67.117489,63.380208,42.36542,36.575999
4120,68.815882,,72.693987,,64.806187,,70.46354,62.190258,63.271894,72.938987,67.124743,63.39084,42.372336,36.276105
4118,68.814865,,72.680954,,64.817595,,70.462951,62.192792,63.290847,72.997438,67.136276,63.397546,42.3819,36.160694
4116,68.813854,,72.665381,,64.818998,,70.462336,62.193313,63.309748,73.053348,67.149954,63.400326,42.388604,36.176454
4114,68.809012,,72.6498,,64.817053,,70.459075,62.185874,63.328597,73.091586,67.161518,63.395181,42.389704,36.322707
4112,68.802258,,72.639271,,64.805128,,70.447941,62.172454,63.344536,73.11469,67.168839,63.386107,42.385209,36.546603
4110,68.791676,,72.633785,,64.786556,,70.431558,62.153054,63.35757,73.110072,67.171922,63.369105,42.375131,36.821699
4108,68.779183,,72.635865,,64.764661,,70.412546,62.127671,63.364849,73.088596,67.166512,63.352168,42.35948,37.121733
4106,68.766698,,72.645501,,64.742762,,70.390908,62.102256,63.366382,73.058807,67.158998,63.335295,42.338268,37.368724
4104,68.756138,,72.657635,,64.717546,,70.369259,62.08078,63.365026,73.023994,67.145127,63.320484,42.31425,37.562948
4102,68.753255,,72.672262,,64.695638,,70.35282,62.06523,63.360785,72.996748,67.131285,63.311735,42.290176,37.65296
4100,68.74846,,72.684335,,64.673725,,70.341584,62.053626,63.353664,72.974546,67.113218,63.30505,42.268791,37.690935
4098,68.743673,,72.696378,,64.648498,,70.332936,62.047957,63.343665,72.959899,67.09093,63.298429,42.244612,37.651373
4096,68.735059,,72.703349,,64.619964,,70.326873,62.046242,63.333639,72.9528,67.066549,63.289873,42.220386,37.61186
4094,68.720704,,72.705253,,64.584824,,70.32339,62.044511,63.320741,72.950729,67.035825,63.277381,42.198852,37.546717
4092,68.706357,,72.704615,,64.556292,,70.319879,62.044754,63.304975,72.951167,67.005139,63.260952,42.177273,37.507355
4090,68.688188,,72.701438,,64.531057,,70.318945,62.048958,63.286345,72.956627,66.974489,63.242584,42.158386,37.493642
